beginyear,medium,imageurl,decade,hex_color
1470,sculpture,"https://api.nga.gov/iiif/4fa62d17-40d9-4c7c-8d76-66c7d1182c84/full/!200,200/0/default.jpg",1470,"44, 29, 15"
1480,sculpture,"https://api.nga.gov/iiif/8d079940-02a5-423b-a6e6-70ce4c36c0ae/full/!200,200/0/default.jpg",1480,"62, 53, 40"
1499,sculpture,"https://api.nga.gov/iiif/4a92c579-2fc0-4d27-960f-c6706d1790c7/full/!200,200/0/default.jpg",1490,"79, 72, 63"
1478,sculpture,"https://api.nga.gov/iiif/b6cff933-0ef9-424d-a99f-500620ae0d37/full/!200,200/0/default.jpg",1470,"71, 61, 48"
1478,sculpture,"https://api.nga.gov/iiif/31b6d5eb-e063-44c8-945a-03f757a052eb/full/!200,200/0/default.jpg",1470,"59, 54, 46"
1490,decorative art,"https://api.nga.gov/iiif/44434774-d08a-4809-887d-14d227487204/full/!200,200/0/default.jpg",1490,"144, 112, 77"
1492,sculpture,"https://api.nga.gov/iiif/e1a91e7b-6d3f-4c30-9b8b-7a9203fa6d3c/full/!200,200/0/default.jpg",1490,"55, 41, 31"
1450,sculpture,"https://api.nga.gov/iiif/b7793ce5-17b7-4edb-8509-095fcebee463/full/!200,200/0/default.jpg",1450,"58, 45, 35"
1472,print,"https://api.nga.gov/iiif/83147a65-ac94-4458-99cf-ad05e72262a5/full/!200,200/0/default.jpg",1470,"195, 183, 167"
1480,print,"https://api.nga.gov/iiif/5053df09-2ab9-4a5e-8f90-f12e91e3061a/full/!200,200/0/default.jpg",1480,"190, 176, 155"
1450,sculpture,"https://api.nga.gov/iiif/e1657c9e-0375-4187-abe5-8403730e0e41/full/!200,200/0/default.jpg",1450,"62, 43, 31"
1470,sculpture,"https://api.nga.gov/iiif/4f671e0a-7503-4a77-87b1-0ec7ef2b6b22/full/!200,200/0/default.jpg",1470,"69, 43, 23"
1475,sculpture,"https://api.nga.gov/iiif/690c1cdb-2088-41b1-91ea-a8883878e1ed/full/!200,200/0/default.jpg",1470,"69, 49, 37"
1470,sculpture,"https://api.nga.gov/iiif/04bb276d-02b4-475f-83cf-1697f0cc343d/full/!200,200/0/default.jpg",1470,"56, 48, 38"
1496,sculpture,"https://api.nga.gov/iiif/3ab9f6c1-5a3b-4f47-a8ba-5f019c8d64f2/full/!200,200/0/default.jpg",1490,"70, 55, 36"
1460,drawing,"https://api.nga.gov/iiif/af39f56a-1a16-4d63-8f6a-222f281cafb8/full/!200,200/0/default.jpg",1460,"170, 162, 146"
1481,print,"https://api.nga.gov/iiif/e8fee2aa-476f-4399-8884-8491c7f515bd/full/!200,200/0/default.jpg",1480,"180, 165, 147"
1480,print,"https://api.nga.gov/iiif/c8f8400f-93ba-4b22-bcff-44398b57b35f/full/!200,200/0/default.jpg",1480,"116, 93, 63"
1420,drawing,"https://api.nga.gov/iiif/5b2ce2d8-1b65-496a-9b62-e7edbf9774e4/full/!200,200/0/default.jpg",1420,"210, 186, 157"
1470,print,"https://api.nga.gov/iiif/e1640271-22bb-4470-a971-9a078a89146a/full/!200,200/0/default.jpg",1470,"168, 154, 132"
1480,print,"https://api.nga.gov/iiif/9f73cbb3-8c3d-42a5-b534-be44aa29d810/full/!200,200/0/default.jpg",1480,"169, 156, 138"
