beginyear,medium,imageurl,decade,DominantColorRGB,PaletteRGB
1470,print,"https://api.nga.gov/iiif/a038b874-375a-4216-b559-63857245d5ed/full/!200,200/0/default.jpg",1400,"(99, 84, 66)","(95, 80, 62), (206, 189, 166), (184, 168, 147), (158, 142, 122), (171, 155, 140)"
1470,print,"https://api.nga.gov/iiif/343cded7-2249-47b1-8ea2-7beb9aeea316/full/!200,200/0/default.jpg",1400,"(186, 161, 114)","(177, 142, 100), (250, 243, 215), (235, 208, 157), (94, 90, 55), (174, 73, 38)"
1470,print,"https://api.nga.gov/iiif/e6fd40f5-3ee2-4d01-a02e-0060ced07ae1/full/!200,200/0/default.jpg",1600,"(176, 157, 126)","(174, 155, 125), (242, 226, 196), (105, 89, 68), (126, 108, 76), (116, 108, 84)"
1470,sculpture,"https://api.nga.gov/iiif/4f07887c-d221-4deb-bbbd-4de82e9e3190/full/!200,200/0/default.jpg",1400,"(113, 81, 57)","(112, 80, 56), (4, 4, 4), (177, 146, 115), (148, 128, 109), (150, 140, 112)"
1470,sculpture,"https://api.nga.gov/iiif/d092b17f-3b60-457a-ac39-900765fa8091/full/!200,200/0/default.jpg",1400,"(44, 36, 26)","(44, 36, 25), (107, 89, 68), (142, 125, 104), (124, 118, 100), (90, 85, 76)"
1470,print,"https://api.nga.gov/iiif/02374d72-abc0-4a20-90cc-4a38bf1cd658/full/!200,200/0/default.jpg",1700,"(205, 190, 171)","(210, 194, 175), (102, 97, 87), (144, 137, 123), (124, 115, 105), (132, 124, 100)"
1470,drawing,"https://api.nga.gov/iiif/d476413b-7acd-4dfa-9870-ef758640c15b/full/!200,200/0/default.jpg",1500,"(214, 190, 158)","(215, 191, 160), (167, 139, 106), (250, 243, 219), (178, 148, 124), (172, 156, 132)"
1470,print,"https://api.nga.gov/iiif/e3f7ea5b-d17e-4077-aac1-17a2db34045b/full/!200,200/0/default.jpg",1700,"(147, 135, 119)","(146, 135, 119), (221, 201, 174), (81, 76, 67), (100, 91, 81), (110, 100, 76)"
1470,print,"https://api.nga.gov/iiif/20f589d6-df61-47a3-b2dc-29f4fc6c5ba3/full/!200,200/0/default.jpg",1800,"(235, 211, 172)","(237, 212, 173), (139, 119, 92), (187, 164, 130), (165, 140, 109), (172, 148, 108)"
1470,sculpture,"https://api.nga.gov/iiif/8556e342-2437-4b16-aae1-a7164d014496/full/!200,200/0/default.jpg",1400,"(53, 39, 27)","(52, 38, 26), (181, 176, 156), (124, 103, 87), (142, 133, 125), (148, 152, 136)"
1470,print,"https://api.nga.gov/iiif/f345a090-e3d8-4b92-8e07-a91bdc281825/full/!200,200/0/default.jpg",1500,"(217, 201, 176)","(217, 201, 176), (90, 77, 60), (145, 129, 107), (118, 104, 87), (124, 116, 93)"
1470,print,"https://api.nga.gov/iiif/a722ae39-af79-4bca-9d61-fa9041c81d8e/full/!200,200/0/default.jpg",1400,"(115, 101, 85)","(114, 100, 85), (228, 212, 184), (201, 183, 156), (179, 163, 140), (203, 188, 172)"
1470,sculpture,"https://api.nga.gov/iiif/1b20f160-e70e-4d82-ba8f-8bc966593cac/full/!200,200/0/default.jpg",1400,"(136, 119, 96)","(135, 119, 96), (4, 4, 4), (214, 203, 147), (179, 171, 164), (172, 182, 172)"
1470,drawing,"https://api.nga.gov/iiif/786eb7b4-5966-4323-b14d-b3d4a1ad498a/full/!200,200/0/default.jpg",1700,"(223, 218, 206)","(225, 220, 207), (142, 138, 129), (178, 174, 164), (164, 156, 149), (164, 164, 148)"
1470,print,"https://api.nga.gov/iiif/55a17206-ac40-4766-9beb-def022e5b1fd/full/!200,200/0/default.jpg",1700,"(90, 80, 68)","(91, 80, 69), (198, 182, 157), (139, 126, 109), (152, 139, 124), (156, 148, 126)"
1470,drawing,"https://api.nga.gov/iiif/066b8e2a-b796-406f-bd8d-2d93f735a98d/full/!200,200/0/default.jpg",1800,"(151, 128, 95)","(172, 147, 111), (83, 67, 48), (102, 82, 58), (117, 98, 73), (113, 92, 59)"
1470,drawing,"https://api.nga.gov/iiif/89520328-aea5-46ae-b550-ef3626875c47/full/!200,200/0/default.jpg",1400,"(171, 153, 129)","(168, 151, 127), (83, 67, 51), (214, 197, 171), (115, 93, 67), (109, 81, 60)"
1470,print,"https://api.nga.gov/iiif/09049b5f-8ef7-48c7-a61f-2aaae92c6f93/full/!200,200/0/default.jpg",1700,"(195, 180, 158)","(197, 182, 160), (89, 80, 72), (131, 119, 106), (120, 108, 91), (116, 100, 87)"
