beginyear,medium,imageurl,hex_color
1550,painting,"https://api.nga.gov/iiif/41d63b2f-972c-4ed9-9c28-b3d8b3d260d5/full/!200,200/0/default.jpg","54, 42, 34"
1507,sculpture,"https://api.nga.gov/iiif/89718bd9-7202-4a35-b7e6-3c4dcb560a7a/full/!200,200/0/default.jpg","54, 49, 39"
1565,print,"https://api.nga.gov/iiif/29ff963a-d576-4121-9304-7b1f8652c16d/full/!200,200/0/default.jpg","147, 130, 109"
1588,print,"https://api.nga.gov/iiif/b49b92d4-ffe3-4409-b854-f5bd2c117210/full/!200,200/0/default.jpg","156, 141, 123"
1590,print,"https://api.nga.gov/iiif/38940ecc-8e31-4fe4-8ef6-8a2ae1019f50/full/!200,200/0/default.jpg","158, 142, 124"
1500,painting,"https://api.nga.gov/iiif/7f89c7c7-a5cf-499d-a7ab-d2aa33e360d1/full/!200,200/0/default.jpg","80, 71, 60"
1530,print,"https://api.nga.gov/iiif/fd9381bd-b8bb-4130-90ba-7ede08e8cdff/full/!200,200/0/default.jpg","129, 114, 97"
1556,print,"https://api.nga.gov/iiif/59a0903a-b827-48fa-8912-930df19066b1/full/!200,200/0/default.jpg","141, 126, 109"
1515,drawing,"https://api.nga.gov/iiif/d5052789-43c7-45d6-8938-5ff18119e842/full/!200,200/0/default.jpg","214, 195, 169"
1500,sculpture,"https://api.nga.gov/iiif/9748fd63-cb95-462f-a1e9-fc53abe2fad3/full/!200,200/0/default.jpg","63, 56, 41"
1500,sculpture,"https://api.nga.gov/iiif/1c149841-2fb6-49eb-9ed8-770ad2d0c036/full/!200,200/0/default.jpg","157, 155, 154"
1540,print,"https://api.nga.gov/iiif/ec4b74c9-2914-4f1a-a9c2-7b0cb598b929/full/!200,200/0/default.jpg","139, 122, 102"
1500,print,"https://api.nga.gov/iiif/4879ecd7-f20a-4c80-8a83-abfa2c1f379b/full/!200,200/0/default.jpg","180, 169, 152"
1515,drawing,"https://api.nga.gov/iiif/c4693074-5ff9-476e-9428-79cac4d71799/full/!200,200/0/default.jpg","223, 209, 191"
1552,drawing,"https://api.nga.gov/iiif/29519a10-32de-4b46-bf70-bba215835fc6/full/!200,200/0/default.jpg","190, 179, 160"
1590,sculpture,"https://api.nga.gov/iiif/a6764c3a-643e-40fd-8b7c-57297aa1a2e3/full/!200,200/0/default.jpg","192, 192, 191"
1509,print,"https://api.nga.gov/iiif/8ceb63c2-890f-475d-b014-3f008f283ad3/full/!200,200/0/default.jpg","183, 167, 145"
1588,drawing,"https://api.nga.gov/iiif/cc6c6f14-58d8-4700-9c26-bcbda2f7c3c3/full/!200,200/0/default.jpg","201, 188, 167"
1515,drawing,"https://api.nga.gov/iiif/ff9a9cd2-84a6-4381-82b0-200f9a835bb3/full/!200,200/0/default.jpg","222, 204, 185"
1564,print,"https://api.nga.gov/iiif/5fe22ec8-6496-426b-b126-4c5e2711c751/full/!200,200/0/default.jpg","157, 143, 122"
1500,sculpture,"https://api.nga.gov/iiif/fdad1c15-d51d-4611-9b70-7462e802244b/full/!200,200/0/default.jpg","66, 46, 33"
1538,print,"https://api.nga.gov/iiif/a9b5e9db-ca3b-451d-87b0-b3c892e926ab/full/!200,200/0/default.jpg","178, 165, 144"
1596,drawing,"https://api.nga.gov/iiif/7e274d04-39c7-4fc7-87de-84cd57b138a6/full/!200,200/0/default.jpg","125, 108, 88"
1500,print,"https://api.nga.gov/iiif/86f9a168-99e0-4535-84e7-0332a6ba2dd7/full/!200,200/0/default.jpg","147, 134, 119"
1590,sculpture,"https://api.nga.gov/iiif/a6764c3a-643e-40fd-8b7c-57297aa1a2e3/full/!200,200/0/default.jpg","192, 192, 191"
1505,drawing,"https://api.nga.gov/iiif/e996c542-e8e5-4890-bce3-987c37d90430/full/!200,200/0/default.jpg","198, 181, 158"
1500,sculpture,"https://api.nga.gov/iiif/f0442fb5-1cc5-45f0-92ac-691ed34185c2/full/!200,200/0/default.jpg","148, 146, 145"
1524,print,"https://api.nga.gov/iiif/99024dbb-f0d0-4f8b-a796-3c9fb4f78712/full/!200,200/0/default.jpg","149, 131, 110"
1522,print,"https://api.nga.gov/iiif/f1837fb6-20f7-469d-b36c-72730312e87e/full/!200,200/0/default.jpg","146, 133, 119"
1590,print,"https://api.nga.gov/iiif/899166e7-4f26-429c-a6c2-8a9e622a57a4/full/!200,200/0/default.jpg","153, 143, 129"
1513,print,"https://api.nga.gov/iiif/1c884c1b-8a43-44a0-9455-0f9da18017d4/full/!200,200/0/default.jpg","163, 146, 120"
1575,drawing,"https://api.nga.gov/iiif/4fbc4bb5-6384-4b11-9970-e12906232633/full/!200,200/0/default.jpg","212, 200, 178"
1588,print,"https://api.nga.gov/iiif/e4b6d699-4d39-4182-bf48-774bc93786c5/full/!200,200/0/default.jpg","166, 150, 131"
1570,print,"https://api.nga.gov/iiif/9ce3c6d2-d679-4100-919e-60f83a866833/full/!200,200/0/default.jpg","170, 153, 131"
1525,print,"https://api.nga.gov/iiif/a89f6d91-6129-424d-b608-ae9ab7873ca8/full/!200,200/0/default.jpg","159, 145, 126"
1538,print,"https://api.nga.gov/iiif/a9b5e9db-ca3b-451d-87b0-b3c892e926ab/full/!200,200/0/default.jpg","178, 165, 144"
1550,sculpture,"https://api.nga.gov/iiif/3becd431-1fcc-4c02-be23-2ca3014d5d60/full/!200,200/0/default.jpg","164, 163, 162"
1516,print,"https://api.nga.gov/iiif/bd1554a8-3e7e-4ae4-b79f-3f37705d5543/full/!200,200/0/default.jpg","179, 161, 135"
1512,print,"https://api.nga.gov/iiif/2d6ace85-3f94-458f-aee0-bd30ae613fa1/full/!200,200/0/default.jpg","127, 113, 101"
1592,print,"https://api.nga.gov/iiif/65e140ce-f1ee-4220-a529-71432ec4272b/full/!200,200/0/default.jpg","222, 209, 189"
1516,print,"https://api.nga.gov/iiif/bbf29612-4944-44fd-a68e-6dfd9da9a9e6/full/!200,200/0/default.jpg","183, 170, 150"
1547,sculpture,"https://api.nga.gov/iiif/4a8bb02a-e67b-4d46-aa80-72514a5c3ec6/full/!200,200/0/default.jpg","74, 55, 39"
1582,print,"https://api.nga.gov/iiif/ce3ac1a2-83fa-4ae7-8d68-c7ac7aedc680/full/!200,200/0/default.jpg","174, 159, 141"
1539,print,"https://api.nga.gov/iiif/c5e8850b-e49d-4f33-8f1c-ea342db64a88/full/!200,200/0/default.jpg","160, 146, 128"
1503,print,"https://api.nga.gov/iiif/0998a624-30ce-48dc-a3e1-db9a2d431eff/full/!200,200/0/default.jpg","156, 147, 136"
1515,drawing,"https://api.nga.gov/iiif/1b9ef550-28fc-42e5-910a-cc12158c3567/full/!200,200/0/default.jpg","221, 204, 183"
1500,decorative art,"https://api.nga.gov/iiif/528a2c1d-a7ef-40e0-b1bb-7a65f9888e2c/full/!200,200/0/default.jpg","175, 172, 171"
1509,print,"https://api.nga.gov/iiif/8c0368ea-2c16-4bc7-adbe-01019012988a/full/!200,200/0/default.jpg","160, 147, 133"
1592,print,"https://api.nga.gov/iiif/fd533ecc-139a-4416-9fba-050d099aff1f/full/!200,200/0/default.jpg","204, 189, 167"
1598,print,"https://api.nga.gov/iiif/52e03f4d-5f67-4477-a5e4-84b1ed60397c/full/!200,200/0/default.jpg","157, 140, 119"
1500,print,"https://api.nga.gov/iiif/343cded7-2249-47b1-8ea2-7beb9aeea316/full/!200,200/0/default.jpg","195, 166, 127"
1598,print,"https://api.nga.gov/iiif/dfbaff02-ed8f-46e6-8ddf-8fd87020fd4a/full/!200,200/0/default.jpg","192, 175, 149"
1579,print,"https://api.nga.gov/iiif/50563511-bf4a-47ec-8ae7-12a2c4f8a4fd/full/!200,200/0/default.jpg","211, 200, 183"
1515,drawing,"https://api.nga.gov/iiif/8381ca75-5693-464b-b83d-1667777b9c2d/full/!200,200/0/default.jpg","189, 167, 144"
1544,print,"https://api.nga.gov/iiif/fdd7c7da-5472-453c-8809-6e7e283f998d/full/!200,200/0/default.jpg","143, 128, 111"
1501,print,"https://api.nga.gov/iiif/3bcd98e9-5a28-4542-8566-79d1dae0fc10/full/!200,200/0/default.jpg","180, 165, 144"
1500,print,"https://api.nga.gov/iiif/2e534443-130c-4dd1-9298-86f8d57f6d41/full/!200,200/0/default.jpg","119, 107, 95"
1509,drawing,"https://api.nga.gov/iiif/d476413b-7acd-4dfa-9870-ef758640c15b/full/!200,200/0/default.jpg","212, 189, 157"
1525,sculpture,"https://api.nga.gov/iiif/b91e5708-8374-4647-8566-4cb87562cf5e/full/!200,200/0/default.jpg","57, 51, 41"
1500,sculpture,"https://api.nga.gov/iiif/f5d0f3bf-86ae-483d-9d50-c398820cd454/full/!200,200/0/default.jpg","81, 70, 57"
1594,drawing,"https://api.nga.gov/iiif/4ede06f3-573b-4682-9eb3-0318a0992bb7/full/!200,200/0/default.jpg","123, 99, 71"
1552,print,"https://api.nga.gov/iiif/2629fba7-3720-4013-9e15-2c3a946d5925/full/!200,200/0/default.jpg","182, 164, 141"
1500,sculpture,"https://api.nga.gov/iiif/f9a9b9a0-7cbe-44c6-b7b1-b7cb8e79f316/full/!200,200/0/default.jpg","71, 49, 33"
1537,print,"https://api.nga.gov/iiif/25af5e3a-6494-4e94-b927-20bc5fb38fdc/full/!200,200/0/default.jpg","148, 135, 118"
1516,print,"https://api.nga.gov/iiif/fd5a2066-e73b-4b9b-a6d9-0e0740bc2caa/full/!200,200/0/default.jpg","181, 164, 143"
1524,print,"https://api.nga.gov/iiif/27d77223-d500-47ec-b786-4a454ba33a90/full/!200,200/0/default.jpg","139, 129, 116"
1587,print,"https://api.nga.gov/iiif/544c1509-fd78-46fa-9a42-35cef0571085/full/!200,200/0/default.jpg","160, 145, 127"
1500,decorative art,"https://api.nga.gov/iiif/da57accd-837a-4120-8677-e7d672fa4d7e/full/!200,200/0/default.jpg","166, 158, 154"
1592,print,"https://api.nga.gov/iiif/d70a0424-9a81-4c7f-9ec7-eda0ffdcf818/full/!200,200/0/default.jpg","131, 111, 79"
1500,sculpture,"https://api.nga.gov/iiif/a7fc84f8-c239-4c5f-ac45-1f43f368c269/full/!200,200/0/default.jpg","73, 67, 53"
1570,sculpture,"https://api.nga.gov/iiif/4c43fbca-ba0d-4bf5-952d-120ea464add8/full/!200,200/0/default.jpg","41, 38, 32"
1500,sculpture,"https://api.nga.gov/iiif/4f07887c-d221-4deb-bbbd-4de82e9e3190/full/!200,200/0/default.jpg","69, 50, 35"
1510,drawing,"https://api.nga.gov/iiif/af8a5a70-f110-4116-96a4-7c5c748c5ca9/full/!200,200/0/default.jpg","178, 152, 123"
1549,print,"https://api.nga.gov/iiif/6d97ea48-a72f-4de9-b88d-1f421c7cd4a3/full/!200,200/0/default.jpg","207, 190, 164"
1575,print,"https://api.nga.gov/iiif/17b058ce-3ca7-46c2-8e06-f4bd3204db0e/full/!200,200/0/default.jpg","154, 119, 92"
1500,drawing,"https://api.nga.gov/iiif/407969f0-5c4e-43ac-946d-0146047562b7/full/!200,200/0/default.jpg","114, 103, 80"
1552,sculpture,"https://api.nga.gov/iiif/f28cf634-e468-4ad0-9194-37a13ff07e94/full/!200,200/0/default.jpg","56, 52, 46"
