beginyear,medium,imageurl
1662,decorative art,"https://api.nga.gov/iiif/b0b56671-265b-4127-90d7-57a0acd07e89/full/!200,200/0/default.jpg"
1880,volume,"https://api.nga.gov/iiif/0e69a919-9aa1-4bc3-856a-e722ebb8eb2f/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/aa84669e-cc4f-43dc-961a-747ef183cd8c/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/e6d20bb3-3367-48f5-a495-57d513253b1f/full/!200,200/0/default.jpg"
1610,print,"https://api.nga.gov/iiif/633dc50d-455d-45c4-a686-0d056a43a320/full/!200,200/0/default.jpg"
1680,print,"https://api.nga.gov/iiif/1e804169-f476-42e0-b172-cd239ab86e63/full/!200,200/0/default.jpg"
1645,print,"https://api.nga.gov/iiif/9a3843b0-1fe5-44d8-8b3a-42deeb80c99a/full/!200,200/0/default.jpg"
1575,drawing,"https://api.nga.gov/iiif/2ca9f0f2-31b9-4347-8daa-4c4c48a51627/full/!200,200/0/default.jpg"
1713,drawing,"https://api.nga.gov/iiif/fc5bc1dd-9a58-4304-8f47-ebc932b083e6/full/!200,200/0/default.jpg"
1610,print,"https://api.nga.gov/iiif/401c52bb-254e-4863-b696-e095a29e5612/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/9d86f16c-9457-4d68-85b2-3b6b8903ea7e/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/b77ae663-c971-4893-a35d-863bcd894591/full/!200,200/0/default.jpg"
1789,print,"https://api.nga.gov/iiif/420305a3-4ccb-43ab-a895-97e3762fc4ee/full/!200,200/0/default.jpg"
1890,photograph,"https://api.nga.gov/iiif/2c699b2e-ac2e-4275-9067-aa8a0bbe2d30/full/!200,200/0/default.jpg"
1809,print,"https://api.nga.gov/iiif/223fa868-5e6e-4157-a797-1e7a6d4ea432/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/b79f5804-aea4-45fe-9394-be076c5acf73/full/!200,200/0/default.jpg"
1617,print,"https://api.nga.gov/iiif/6809d170-5928-4752-83fc-b5eea10ecd36/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/2a00b09c-16c7-4509-92d8-aa77952c8ab3/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/15ec5c85-206e-4ce4-bc4c-0e1f09c18a23/full/!200,200/0/default.jpg"
1730,print,"https://api.nga.gov/iiif/afabc3ed-5e1a-421d-987d-ffda57f1587b/full/!200,200/0/default.jpg"
1500,decorative art,"https://api.nga.gov/iiif/4ba0125d-68cc-4bea-9cbe-71b6f13aaea8/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/6790f478-9b83-462c-8c60-86f05751e38b/full/!200,200/0/default.jpg"
1662,print,"https://api.nga.gov/iiif/59b7203b-971a-4bf1-a220-4897228e61ee/full/!200,200/0/default.jpg"
1620,drawing,"https://api.nga.gov/iiif/38f30e0a-b64c-49e7-8938-537695302421/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/36dd59f5-3ff4-450d-92e2-61f3c01faa9e/full/!200,200/0/default.jpg"
1897,print,"https://api.nga.gov/iiif/334b7705-d387-4908-8933-fc29b3671caa/full/!200,200/0/default.jpg"
1844,print,"https://api.nga.gov/iiif/32473f84-32f7-4bb8-96ec-84192fffe425/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/e24e6ee8-ea63-4e8f-8c1f-9c3142587f86/full/!200,200/0/default.jpg"
1865,photograph,"https://api.nga.gov/iiif/d745f1c1-8340-4f2d-bc55-496b59f24a5a/full/!200,200/0/default.jpg"
1500,decorative art,"https://api.nga.gov/iiif/2f898241-32e4-40cd-bffb-e74e31039af3/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/9e627a87-ab6e-4b07-872e-d6486b17ad19/full/!200,200/0/default.jpg"
1592,print,"https://api.nga.gov/iiif/65ff9d76-a854-402f-895b-9836ed4ca603/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/0df1be69-0743-4fca-8609-e278924c6cc4/full/!200,200/0/default.jpg"
1645,print,"https://api.nga.gov/iiif/0daa9ed7-3a84-4398-a404-95237eda2fe5/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/3354a758-507b-4340-b2e3-6a482dcabc24/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/25012208-9f47-4fa2-bb0e-f43ab5144c64/full/!200,200/0/default.jpg"
1837,drawing,"https://api.nga.gov/iiif/f8d63b9b-9561-4835-b95b-01ca2337cf12/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/c0b998e9-4cfe-47f0-9502-d93d32f8506a/full/!200,200/0/default.jpg"
