beginyear,hex_color,imageurl
1493,#cdb48c,"https://api.nga.gov/iiif/ba6533ae-1dc4-4a4a-bdb6-5b105b06611b/full/!200,200/0/default.jpg"
1469,#c8b868,"https://api.nga.gov/iiif/eb352f4e-6b39-43df-bcad-5b8cd65e2d05/full/!200,200/0/default.jpg"
1413,#af834f,"https://api.nga.gov/iiif/22aada6b-41a7-45ad-a1e4-333320e1d4e9/full/!200,200/0/default.jpg"
1493,#be617e,"https://api.nga.gov/iiif/a722947f-a424-4e30-8e4a-074e92f23b39/full/!200,200/0/default.jpg"
1443,#e0c070,"https://api.nga.gov/iiif/58976614-77e7-4901-a03f-c599b0cfcd4f/full/!200,200/0/default.jpg"
1407,#d0dc80,"https://api.nga.gov/iiif/0de02273-f619-49e4-9f60-08090186acff/full/!200,200/0/default.jpg"
1469,#c4584c,"https://api.nga.gov/iiif/16c9ee7d-e55d-4405-8528-00167cb98828/full/!200,200/0/default.jpg"
1412,#d08470,"https://api.nga.gov/iiif/c673e58b-3676-46f7-a307-9179cffa0fcb/full/!200,200/0/default.jpg"
1409,#c0947c,"https://api.nga.gov/iiif/207376ff-9a9e-4acf-9b6e-83700ac94549/full/!200,200/0/default.jpg"
1466,#6c4430,"https://api.nga.gov/iiif/60633eed-7478-4996-b415-e887421220c0/full/!200,200/0/default.jpg"
1485,#c99981,"https://api.nga.gov/iiif/e68fcefc-3dc6-4551-9b20-ad3ef0685bce/full/!200,200/0/default.jpg"
1485,#c0ac6c,"https://api.nga.gov/iiif/eba6ac37-689e-4892-897b-986f3cb6a565/full/!200,200/0/default.jpg"
1447,#bc586c,"https://api.nga.gov/iiif/0c708708-01b4-4474-aaf0-0a9ad1641c32/full/!200,200/0/default.jpg"
1488,#c4b058,"https://api.nga.gov/iiif/912dc16b-34cc-46f4-90bb-7b5ea6d6c611/full/!200,200/0/default.jpg"
1451,#c4682c,"https://api.nga.gov/iiif/1d26d8c1-2c32-4da0-b9c6-55e1372cc466/full/!200,200/0/default.jpg"
1448,#a83b2f,"https://api.nga.gov/iiif/afb18639-4b1a-409f-b8c5-05bce4656a0c/full/!200,200/0/default.jpg"
1458,#d4a850,"https://api.nga.gov/iiif/fde45f01-c8ea-4074-9646-391288c2971c/full/!200,200/0/default.jpg"
1458,#ccb794,"https://api.nga.gov/iiif/a9da91eb-7d76-4a7a-a009-6bef4f93f2bf/full/!200,200/0/default.jpg"
1400,#74b450,"https://api.nga.gov/iiif/8d912059-d649-42f2-97cb-ec723803f0ee/full/!200,200/0/default.jpg"
1448,#af7c4f,"https://api.nga.gov/iiif/284955ec-7c8f-4b69-bbad-968d2729819b/full/!200,200/0/default.jpg"
1492,#ccc05c,"https://api.nga.gov/iiif/7678ee95-b6bc-4fb7-ab2a-c655da030f6a/full/!200,200/0/default.jpg"
1466,#c0584c,"https://api.nga.gov/iiif/da542c45-3938-4240-a709-51cf4b7da179/full/!200,200/0/default.jpg"
1439,#7c3c34,"https://api.nga.gov/iiif/4845fe7d-aac4-4869-871e-55688b0b5ffc/full/!200,200/0/default.jpg"
1429,#d07c70,"https://api.nga.gov/iiif/26c34fe6-4c98-401b-85f7-02e8ebc5211c/full/!200,200/0/default.jpg"
1448,#c87898,"https://api.nga.gov/iiif/e694cf6f-7df5-4655-b829-1a2c3f380a9e/full/!200,200/0/default.jpg"
1486,#cc6450,"https://api.nga.gov/iiif/758231c0-445d-4c41-b298-9e79ac93e14a/full/!200,200/0/default.jpg"
1401,#c85c4c,"https://api.nga.gov/iiif/9c1cc0ae-e0df-4312-af7a-6b2a37d4787e/full/!200,200/0/default.jpg"
1439,#c4a484,"https://api.nga.gov/iiif/a728c134-66da-45bc-ade5-bd1097cf371e/full/!200,200/0/default.jpg"
1454,#74b850,"https://api.nga.gov/iiif/a6448dc9-2f8d-42d4-bf84-8d3087a2e05c/full/!200,200/0/default.jpg"
1466,#48a084,"https://api.nga.gov/iiif/c308fbee-8f2a-4d22-ad02-a7cb1c3f92b1/full/!200,200/0/default.jpg"
1438,#cca484,"https://api.nga.gov/iiif/7053a1f1-3734-4848-909e-5f55f14415bd/full/!200,200/0/default.jpg"
1464,#ad663d,"https://api.nga.gov/iiif/a79828c0-776e-492c-a89d-cd2f7dabeadd/full/!200,200/0/default.jpg"
1435,#ccb45c,"https://api.nga.gov/iiif/cca7d53c-3965-487c-83cd-aee909275863/full/!200,200/0/default.jpg"
1419,#bc5450,"https://api.nga.gov/iiif/1bf1b962-7561-411a-b38c-1eb0e876313e/full/!200,200/0/default.jpg"
1485,#ccc860,"https://api.nga.gov/iiif/81e348f1-ee4f-4ddd-89c1-8793b806570b/full/!200,200/0/default.jpg"
1443,#bc6458,"https://api.nga.gov/iiif/ac185c8b-afff-483e-a017-8191e836b5eb/full/!200,200/0/default.jpg"
1447,#b46458,"https://api.nga.gov/iiif/a2beaaf0-ca95-4068-9ef6-4eacec2b7f6d/full/!200,200/0/default.jpg"
1497,#c06868,"https://api.nga.gov/iiif/bf4b3689-6788-4ff9-99ab-bcae4bdea7d8/full/!200,200/0/default.jpg"
1461,#c060ac,"https://api.nga.gov/iiif/dc3a4a6f-bae1-40a4-8661-fa04068d485e/full/!200,200/0/default.jpg"
1429,#795c34,"https://api.nga.gov/iiif/528194eb-f970-40be-9fe0-ebc5d7cfd7c5/full/!200,200/0/default.jpg"
1470,#c4b04c,"https://api.nga.gov/iiif/64f6fb1a-75f1-47f0-a4de-2ace395b5849/full/!200,200/0/default.jpg"
1476,#d4b860,"https://api.nga.gov/iiif/56f265f8-dbc1-419b-82f8-f7a1bd52f22b/full/!200,200/0/default.jpg"
1494,#cc805c,"https://api.nga.gov/iiif/37918a8c-9cf6-45cd-adfe-630db06f7645/full/!200,200/0/default.jpg"
1425,#ccb48c,"https://api.nga.gov/iiif/9ebdc675-1170-442f-b340-11aeb9459505/full/!200,200/0/default.jpg"
1466,#d8bc64,"https://api.nga.gov/iiif/56fa7f14-76f0-4600-8b97-3d4ab9a05f90/full/!200,200/0/default.jpg"
1465,#b45444,"https://api.nga.gov/iiif/586eed35-f559-4621-8b34-183ef51daf7a/full/!200,200/0/default.jpg"
1495,#88a044,"https://api.nga.gov/iiif/4d223300-1165-4536-8185-9f2a26f92d82/full/!200,200/0/default.jpg"
1475,#d0dc78,"https://api.nga.gov/iiif/34b86a76-aa40-4a3e-9264-96da9fa4a4cd/full/!200,200/0/default.jpg"
1424,#916144,"https://api.nga.gov/iiif/d84f9033-b440-4eeb-9860-85459454d0ed/full/!200,200/0/default.jpg"
1411,#584cb4,"https://api.nga.gov/iiif/a475f423-f41f-4c7b-8632-733ff39f8a29/full/!200,200/0/default.jpg"
1420,#8ca04c,"https://api.nga.gov/iiif/6acacf78-8149-41ee-93c7-256587ab26b9/full/!200,200/0/default.jpg"
1478,#b4595e,"https://api.nga.gov/iiif/3d188497-da0c-4f06-8cd3-d30ed93c6d38/full/!200,200/0/default.jpg"
1410,#b4a050,"https://api.nga.gov/iiif/2e4fd415-52b0-43ca-abb5-413faff8f55c/full/!200,200/0/default.jpg"
1449,#e4bc64,"https://api.nga.gov/iiif/83485407-15bd-4c4a-92f5-1be50a2b3401/full/!200,200/0/default.jpg"
1424,#e0d480,"https://api.nga.gov/iiif/9bdb647b-629b-491e-9d6d-2a3f08615892/full/!200,200/0/default.jpg"
1425,#d8bc54,"https://api.nga.gov/iiif/e4daff43-e89b-4096-8aa3-0db362258d5c/full/!200,200/0/default.jpg"
1484,#b0a84c,"https://api.nga.gov/iiif/1ccb18d9-37ee-4181-8949-0ce332d54490/full/!200,200/0/default.jpg"
1413,#bc740c,"https://api.nga.gov/iiif/18607639-c6f9-4661-9c76-df3bb9056d7d/full/!200,200/0/default.jpg"
1470,#c0ac54,"https://api.nga.gov/iiif/259c1cb4-ad6f-4901-9a52-ee35e1be518e/full/!200,200/0/default.jpg"
1423,#ccac7c,"https://api.nga.gov/iiif/6fd7c64c-03a2-4abf-bf96-c75ad9479f14/full/!200,200/0/default.jpg"
1465,#c4ac84,"https://api.nga.gov/iiif/b87cfecc-acd5-48f9-806b-0a8bc9efb176/full/!200,200/0/default.jpg"
1462,#c06858,"https://api.nga.gov/iiif/0d014c6a-71bb-4b1b-9205-5d1713747db9/full/!200,200/0/default.jpg"
1445,#70b050,"https://api.nga.gov/iiif/05dc2b0b-e6d9-4e0a-a75f-9762bbfe9cea/full/!200,200/0/default.jpg"
