beginyear,hex_color,imageurl,closest_color
1490,#a42f2d,"https://api.nga.gov/iiif/530f9ddd-be0e-4a5e-9c81-95af7fa67587/full/!200,200/0/default.jpg",#a52a2a
1491,#864730,"https://api.nga.gov/iiif/7cb81e27-9f59-43de-829c-dff8edd3a609/full/!200,200/0/default.jpg",#a0522d
1491,#bc8434,"https://api.nga.gov/iiif/64271c45-2acc-4011-a59f-0b79efc613db/full/!200,200/0/default.jpg",#cd853f
1491,#be832b,"https://api.nga.gov/iiif/60ea795a-ca3d-44db-9d51-cb24794c8247/full/!200,200/0/default.jpg",#cd853f
1491,#bc5424,"https://api.nga.gov/iiif/f1218b9a-8b6d-4936-9fd9-3066f1951443/full/!200,200/0/default.jpg",#a0522d
1491,#e4b444,"https://api.nga.gov/iiif/b54422f0-2996-4b60-a3bb-61c7af7655e8/full/!200,200/0/default.jpg",#f4a460
1492,#9c6e46,"https://api.nga.gov/iiif/3ec34856-8851-4913-8af2-a58605f45d2a/full/!200,200/0/default.jpg",#a0522d
1492,#9e7147,"https://api.nga.gov/iiif/07fbd725-cfa8-484b-b4ff-ca45d60dc2b2/full/!200,200/0/default.jpg",#a0522d
1493,#945c34,"https://api.nga.gov/iiif/7afeb3aa-95f4-4d07-b785-edfea8189e08/full/!200,200/0/default.jpg",#a0522d
1495,#a4423f,"https://api.nga.gov/iiif/fa0e4ad8-7e91-44bf-a035-6a9c6605308e/full/!200,200/0/default.jpg",#a0522d
1495,#bc8746,"https://api.nga.gov/iiif/dfc3527e-321a-4678-9032-afbc891c441a/full/!200,200/0/default.jpg",#cd853f
1495,#7a4c25,"https://api.nga.gov/iiif/af776d93-db3e-42ec-905b-5760dcc97bbc/full/!200,200/0/default.jpg",#8b4513
1495,#daa635,"https://api.nga.gov/iiif/c6e0cea2-9175-4f75-9dd7-024d479d4478/full/!200,200/0/default.jpg",#daa520
1495,#c29269,"https://api.nga.gov/iiif/6fe00770-5a30-489e-8e67-973a985c4182/full/!200,200/0/default.jpg",#bdb76b
1495,#844a25,"https://api.nga.gov/iiif/25c98bc8-af28-4194-a056-daeae1f0a001/full/!200,200/0/default.jpg",#8b4513
1495,#ac2c24,"https://api.nga.gov/iiif/a3148763-333a-4e64-ae77-bd37a93b4a34/full/!200,200/0/default.jpg",#a52a2a
1495,#b8813f,"https://api.nga.gov/iiif/afd62374-e1df-4f43-b238-64cd11c3d542/full/!200,200/0/default.jpg",#cd853f
1495,#945a32,"https://api.nga.gov/iiif/db1970bc-095f-413e-ad7e-437e105fc401/full/!200,200/0/default.jpg",#a0522d
1495,#b17c38,"https://api.nga.gov/iiif/0370f726-15c3-4af2-afd1-7a774acab5bc/full/!200,200/0/default.jpg",#cd853f
1495,#ec9e39,"https://api.nga.gov/iiif/a3b8114a-3b9b-4407-9fce-cf7542a56d70/full/!200,200/0/default.jpg",#daa520
1496,#ad3b25,"https://api.nga.gov/iiif/878db7e6-10ae-4cae-ba5d-6d6f5c413ae8/full/!200,200/0/default.jpg",#a52a2a
