beginyear,vibrant,LightVibrant,closest_color,Muted,LightMuted,DarkMuted,Image URL
1473,#d4a05c,#f4d4a4,#71361e,#b08a54,#c4ac84,#4b3b24,"https://api.nga.gov/iiif/2c9db5b0-7ce2-4772-abc6-9f3a417bfc2f/full/!200,200/0/default.jpg"
1473,#d4ac63,#ecbf79,#783e29,#a28a63,#d3bd99,#5b412a,"https://api.nga.gov/iiif/cd382af4-5334-485a-8121-c52ce7abf13a/full/!200,200/0/default.jpg"
1474,#a13313,#bc9170,#613315,#608b9e,#acbdbb,#6a4c31,"https://api.nga.gov/iiif/5f5c2a70-2986-483f-8e16-b43669dc3e6c/full/!200,200/0/default.jpg"
1474,#916418,#e9caaa,#752410,#58879f,#c2bba5,#484631,"https://api.nga.gov/iiif/723c7f3c-c4e0-4ecf-8080-5f9012b7e6cb/full/!200,200/0/default.jpg"
1474,#ad7850,,#ad7850,,,,"https://api.nga.gov/iiif/a2c98cf7-cb29-43d0-a153-30d067973032/full/!200,200/0/default.jpg"
1474,#754d27,#e6dabd,#563c1f,#a48454,#d1bfa2,#564a35,"https://api.nga.gov/iiif/8f29e3c9-a289-4d53-abf0-31a66e9e98fa/full/!200,200/0/default.jpg"
1474,#9d3c2a,,#9d3c2a,,,,"https://api.nga.gov/iiif/ff62e8d0-45c4-498f-ad36-6358de827e04/full/!200,200/0/default.jpg"
1475,#bc412e,#ecd3aa,#994a14,#9a8451,#cdbba0,#565535,"https://api.nga.gov/iiif/d80a9e0f-0424-46ba-86f1-afd821e843b4/full/!200,200/0/default.jpg"
1475,#b2805c,#ddc7b1,#622a1d,#5e89a0,#ccc3af,#2d4054,"https://api.nga.gov/iiif/f0155917-ea57-444f-b3ed-d798b9dd942d/full/!200,200/0/default.jpg"
1475,#9c4023,#d8ae84,#903a22,#a46c48,#c49080,#241b13,"https://api.nga.gov/iiif/8297c11b-591d-4b1e-832b-ee2bb9bec53e/full/!200,200/0/default.jpg"
1475,#9f6e4c,,#9f6e4c,,,,"https://api.nga.gov/iiif/8c0c3a8f-aa9f-43d4-8f60-ac44d48add75/full/!200,200/0/default.jpg"
1475,#8c2712,,#8c2712,,,,"https://api.nga.gov/iiif/89d562d2-a933-4218-bb2a-2e0f325af98b/full/!200,200/0/default.jpg"
1475,#c34031,#efcc8c,#9a2720,#a78652,#daccac,#513c3a,"https://api.nga.gov/iiif/8af6e0ff-0847-4335-8fe3-72702e74fca5/full/!200,200/0/default.jpg"
1475,#9c6b37,#c8996a,#512b18,#a88353,#aaa187,#14110b,"https://api.nga.gov/iiif/cec41beb-e9a3-447e-9529-2aa4f5b857ac/full/!200,200/0/default.jpg"
1475,#a07040,,#a07040,,,,"https://api.nga.gov/iiif/7961759b-b387-4fa5-a005-1bb77e6305bc/full/!200,200/0/default.jpg"
