Year,Drawing,Painting,Sculpture,Photograph,Decorative Art,Print
1998,10,5,5,92,0,76
1999,23,1,0,322,0,116
1433,0,0,1,0,0,0
2000,9,0,0,91,0,90
2001,14,1,1,55,0,118
2002,6,4,1,68,1,45
1000,1,0,0,0,0,0
2003,4,1,0,63,3,44
1412,3,0,0,0,0,0
2004,9,1,1,116,0,81
2005,16,2,5,114,0,17
2006,8,2,1,43,0,50
1304,0,0,0,0,0,0
2007,6,6,1,81,0,45
2008,3,2,3,46,0,53
1285,1,0,0,0,0,0
2009,5,3,0,85,0,12
2010,4,1,0,33,0,17
2011,3,4,1,15,0,4
2012,0,0,1,49,0,10
2013,5,4,2,30,0,3
2014,4,1,2,36,0,6
2015,0,2,1,56,0,7
2016,0,1,0,13,0,9
2017,3,5,1,16,0,5
2018,2,1,2,5,0,5
2019,0,2,1,13,2,1
2021,0,4,0,5,0,9
2020,0,5,2,17,0,1
2022,0,0,0,2,0,0
