Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1495,"#a04c90",,,,,,"https://api.nga.gov/iiif/d4d2b241-ad14-4fbb-b854-2d51278ff371/full/!200,200/0/default.jpg"
1470,"#df281f",,,,,,"https://api.nga.gov/iiif/8371d4e0-dec7-46ec-b8da-97a2154c2773/full/!200,200/0/default.jpg"
1837,"#d88070","#e4d4b4","#68281c","#948472","#d8c8aa","#817464","https://api.nga.gov/iiif/a389e2b6-2fa1-4d1f-b8ee-2ecf00f1f3ea/full/!200,200/0/default.jpg"
1837,"#c86050","#e4d4b4","#64281f","#998970","#d4c4a2","#554a42","https://api.nga.gov/iiif/95522b56-1271-40b7-87fe-7c5cc153c922/full/!200,200/0/default.jpg"
1500,"#d65b28",,,,,,"https://api.nga.gov/iiif/f08eb7b0-9ae3-4971-961c-87bb8f5eaa8a/full/!200,200/0/default.jpg"
1630,"#b4884c",,,,,,"https://api.nga.gov/iiif/b6df0409-9e0e-44fd-9b3e-d1214705b61a/full/!200,200/0/default.jpg"
1500,"#af6f4f",,,,,,"https://api.nga.gov/iiif/0691ba19-2ea5-4e5e-ae79-ec20eeb17a96/full/!200,200/0/default.jpg"
1837,"#c85c50","#fceccc","#64261f","#a5957b","#d4c4a4","#66594d","https://api.nga.gov/iiif/f0c9ad87-0c5f-4107-973b-ea3705df68d0/full/!200,200/0/default.jpg"
1837,"#ccbc94","#e4d4ac","#594c2a","#9b8c74","#ccbc9c","#796b5a","https://api.nga.gov/iiif/2db50329-f511-4da3-b9c0-bf7e8f6533ba/full/!200,200/0/default.jpg"
1500,"#98682c","#bc9466","#7c5024","#a0866a","#beac94","#564634","https://api.nga.gov/iiif/434b1164-55ca-4b8f-a15a-38df830978ed/full/!200,200/0/default.jpg"
1837,"#d47ca0","#ecd4ac","#63203c","#958268","#ccb494","#7a6b56","https://api.nga.gov/iiif/a75ee7ac-248a-432c-a840-8769f0598d55/full/!200,200/0/default.jpg"
1758,"#b0a848","#d4bca3","#5e5926","#8a7a67","#ccbc9c","#544434","https://api.nga.gov/iiif/92799baf-afc1-41b9-ac4a-05ae0547375e/full/!200,200/0/default.jpg"
1808,"#ccb03c","#e4c49c","#60442c","#ab8462","#ccb494","#6d4d3a","https://api.nga.gov/iiif/0edc76e2-01d7-4ab2-8a4d-3bb52397f0d6/full/!200,200/0/default.jpg"
1836,"#c49c78","#ece4cc","#5c4028","#9a8971","#ccc4ad","#5b554a","https://api.nga.gov/iiif/1f8bbaf6-60a4-4ee8-bb33-aab8f0631ae7/full/!200,200/0/default.jpg"
1500,"#bf3f3f",,,,,,"https://api.nga.gov/iiif/5d2f9bce-1dc8-4806-8d42-9f32db5d0e73/full/!200,200/0/default.jpg"
1890,"#b0b048",,,,,,"https://api.nga.gov/iiif/75cdb3ce-dcb7-4650-b24e-3c6bfabb71e0/full/!200,200/0/default.jpg"
1837,"#ccb495","#dcc4a4","#59452b","#8e7c68","#d4bc9c",,"https://api.nga.gov/iiif/93ec89de-c865-40d5-8061-39835c218793/full/!200,200/0/default.jpg"
1662,"#c0b850","#e4d4c4","#615d23","#8d8074","#ccbcab","#524a47","https://api.nga.gov/iiif/db2837de-cbba-457a-85d2-80dcf7e49b7d/full/!200,200/0/default.jpg"
1475,"#a89c44",,,,,,"https://api.nga.gov/iiif/3313c985-b93e-4ad4-9c5e-58bc1b9e1c23/full/!200,200/0/default.jpg"
1782,"#c06c94","#d4c4a4","#5c2741","#9d8f71","#ccbd9d","#685e48","https://api.nga.gov/iiif/6fef4251-15c6-48e4-a2cf-dcd30641f9ab/full/!200,200/0/default.jpg"
1895,"#e4cc64","#fce4bc","#705f13","#ac946c","#a8d0a4","#8c744c","https://api.nga.gov/iiif/e54f96be-4d2e-4ca1-8f55-690e348f6e30/full/!200,200/0/default.jpg"
1535,"#b78260",,,,,,"https://api.nga.gov/iiif/a09807b5-a386-4910-bf67-45bf670a91a9/full/!200,200/0/default.jpg"
1896,"#e8d870","#a4d8a8","#726512","#ac8c64","#d4c4a4","#7e5840","https://api.nga.gov/iiif/2e14bc76-41ab-456a-a9e0-6df7f0bf2239/full/!200,200/0/default.jpg"
1888,"#d47864","#e4d4b4","#672a1c","#8d7d68","#d4c4a3","#695e4e","https://api.nga.gov/iiif/186b89a8-c9b4-47da-8cf7-40f4fe088719/full/!200,200/0/default.jpg"
1622,"#c85850","#f4e4cc","#64241f","#918472","#d4c3ac","#483f38","https://api.nga.gov/iiif/79d6a61d-25f1-4adf-bfe9-eb51cd689af3/full/!200,200/0/default.jpg"
1814,"#bc9767","#ecc48b","#649c38","#a48359","#c4a47c","#6f563d","https://api.nga.gov/iiif/72a6be8c-32a9-4d71-93b2-de66fe9ed89a/full/!200,200/0/default.jpg"
1890,"#3430a8","#70c074","#2c1c14","#767474","#c5c4c4","#4d3e38","https://api.nga.gov/iiif/de53a672-cbc7-476d-b552-b4369230f887/full/!200,200/0/default.jpg"
