beginyear,medium,imageurl
1592,print,"https://api.nga.gov/iiif/7d48ed26-7a09-4e07-b95d-6b058202c425/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/8ea8b9ea-4b24-42ad-85e3-2f59734faa03/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/4350385f-1eb1-4056-ac94-ae892a14673a/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/b715463c-f949-4f16-8caf-6c0b47d13733/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/91abe65b-54e0-4771-b694-92e2e3333ade/full/!200,200/0/default.jpg"
1480,sculpture,"https://api.nga.gov/iiif/7025700d-ff4e-4f67-b6a8-b490625e4f6b/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/175741bf-9afd-452c-a312-159cc04ddc9c/full/!200,200/0/default.jpg"
1900,drawing,"https://api.nga.gov/iiif/cd327cc5-d4bb-4612-afe8-b55ce51960b9/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/9b958834-0c19-42d3-8ebb-d489a56b5d52/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/333772cf-8eb2-42fb-a9a3-2b48872c263f/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/06adb882-b4b1-4102-89a9-71d5d7c06f1a/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/6cdb6b73-df43-42c0-8f84-c16b63af18fa/full/!200,200/0/default.jpg"
1887,print,"https://api.nga.gov/iiif/116920e6-e3ab-4f44-ba5c-1f9c7c606ddb/full/!200,200/0/default.jpg"
1650,decorative art,"https://api.nga.gov/iiif/6168ffb5-533f-45eb-b60a-dc761847f549/full/!200,200/0/default.jpg"
1621,print,"https://api.nga.gov/iiif/7cf20872-e7c5-4eac-9afe-af6005c3d2d0/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/d12830d4-5f32-4e20-9d38-7769eb90a568/full/!200,200/0/default.jpg"
1759,volume,"https://api.nga.gov/iiif/c94c436a-bc9b-457b-9580-e3dd6f2ae801/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/d8595b3b-9535-4830-88e8-0cb595e518ec/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/4f69a16e-84ff-4307-87b1-40ba9552e459/full/!200,200/0/default.jpg"
1861,painting,"https://api.nga.gov/iiif/d906bf7b-79e1-4c8a-adeb-6cdcf2287f28/full/!200,200/0/default.jpg"
1798,print,"https://api.nga.gov/iiif/d6df109f-118a-45f8-9df1-07836c780f39/full/!200,200/0/default.jpg"
1798,print,"https://api.nga.gov/iiif/90353d3d-d728-43f3-9427-4353177bb137/full/!200,200/0/default.jpg"
1890,print,"https://api.nga.gov/iiif/4f7d1da6-4a9f-4c14-9d0c-e5cc74a3b3c6/full/!200,200/0/default.jpg"
1500,decorative art,"https://api.nga.gov/iiif/3e8ff9ef-6df6-4d34-84c2-265de5daf60e/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/699cafed-d5ee-4eca-aa56-d5aac51a3463/full/!200,200/0/default.jpg"
1884,sculpture,"https://api.nga.gov/iiif/304f0ff9-90a4-4c25-95c4-521e4d5dfeb1/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/b9e42986-fbe6-493c-95ce-b0428cae200b/full/!200,200/0/default.jpg"
1640,print,"https://api.nga.gov/iiif/4547a341-32f4-41aa-9345-bfc58fa6a336/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/1dd807d8-1dac-4aea-8df6-814481857451/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/3102f6d4-5ddd-4c06-b94f-9b4d5533e609/full/!200,200/0/default.jpg"
1519,drawing,"https://api.nga.gov/iiif/618b984d-678f-4e08-a606-aec82338924f/full/!200,200/0/default.jpg"
1900,print,"https://api.nga.gov/iiif/e9046978-3f46-4e4b-8341-911588bf7da8/full/!200,200/0/default.jpg"
1645,drawing,"https://api.nga.gov/iiif/7860fa2a-d4df-4968-949c-7ebcc5dad4bf/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/b72490c5-2b90-4bb9-9e1e-09945555d79c/full/!200,200/0/default.jpg"
1827,print,"https://api.nga.gov/iiif/b60252cc-4720-4d77-baa3-7f9f36865766/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/5b92a664-59c8-43ab-b1b9-7bbcb82322ef/full/!200,200/0/default.jpg"
1880,volume,"https://api.nga.gov/iiif/0e93d26b-33b7-4dd6-8513-e07ca70f3402/full/!200,200/0/default.jpg"
1780,print,"https://api.nga.gov/iiif/7d381d49-3fa7-476f-a65c-2a882e60fb05/full/!200,200/0/default.jpg"
1860,photograph,"https://api.nga.gov/iiif/1fcb83cb-b44a-469f-90e5-c180c0e6286e/full/!200,200/0/default.jpg"
1860,volume,"https://api.nga.gov/iiif/5df6b980-4137-41fe-be96-970e209c449a/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/1f6df2a0-7362-4149-b6ca-6bc5d27cad17/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/fb912662-e84d-4a97-a7f9-47d306e33853/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/d78b4920-4aa1-40f7-b865-b4ace99bd051/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/85adf3a2-03aa-4ec8-bce8-bb1de2fe80e5/full/!200,200/0/default.jpg"
1897,print,"https://api.nga.gov/iiif/26d8bb5f-7c37-4f30-b32f-b42923dc0b97/full/!200,200/0/default.jpg"
1645,painting,"https://api.nga.gov/iiif/9bb91f84-8284-4a9f-a0bb-71cb599ce764/full/!200,200/0/default.jpg"
1865,drawing,"https://api.nga.gov/iiif/6d8980a6-4d1b-46da-80b3-827d7c28293c/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/442a56fe-43ae-4f9b-82a7-1eed2a16ffde/full/!200,200/0/default.jpg"
1831,print,"https://api.nga.gov/iiif/30c20853-eec3-4c42-8a63-756271b99b0b/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/467fff64-d0ac-4a06-962b-f5e346fcf355/full/!200,200/0/default.jpg"
1894,print,"https://api.nga.gov/iiif/09e43b37-5a64-4bfb-866b-6c4384f85614/full/!200,200/0/default.jpg"
1880,drawing,"https://api.nga.gov/iiif/8605739f-6218-41c7-82c7-0582501696ac/full/!200,200/0/default.jpg"
1644,print,"https://api.nga.gov/iiif/1e8f9293-c4f7-485b-a7a4-cd45f9272d72/full/!200,200/0/default.jpg"
1700,print,"https://api.nga.gov/iiif/9f2acdd7-feaf-4513-af97-312309ad6928/full/!200,200/0/default.jpg"
1592,print,"https://api.nga.gov/iiif/29f6c850-8a82-40f7-9d10-8e929de60688/full/!200,200/0/default.jpg"
1837,sculpture,"https://api.nga.gov/iiif/0bfd6065-b670-4dfe-b73e-67c7d66cea7c/full/!200,200/0/default.jpg"
1700,sculpture,"https://api.nga.gov/iiif/228dafdd-ad10-40ae-81e2-3912fb5312d0/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/6a1fa668-4391-466c-8c07-68e30f37f9b1/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/da54e40c-c4e9-4393-ad17-7bde391fe2eb/full/!200,200/0/default.jpg"
1887,drawing,"https://api.nga.gov/iiif/9ae8d73c-ee5e-4528-b4ae-226a82da978e/full/!200,200/0/default.jpg"
1896,print,"https://api.nga.gov/iiif/7b2f4f20-2f37-47c0-946c-4b3dfacec2a4/full/!200,200/0/default.jpg"
1651,print,"https://api.nga.gov/iiif/da3d3fb3-f804-4a20-8d8d-c5cbc6ff5607/full/!200,200/0/default.jpg"
1515,print,"https://api.nga.gov/iiif/2d4e0f69-6925-41b3-90c3-d429f571b198/full/!200,200/0/default.jpg"
1650,drawing,"https://api.nga.gov/iiif/27e01db9-881e-42f5-a903-dc1f7df25fea/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/170f1713-26b9-4818-91c5-2f3cfe3c6f09/full/!200,200/0/default.jpg"
1470,drawing,"https://api.nga.gov/iiif/420ac74c-5760-42a1-85b9-94ed27140fcc/full/!200,200/0/default.jpg"
1516,print,"https://api.nga.gov/iiif/17ffa8ea-72c8-4c47-900d-32b778c226e9/full/!200,200/0/default.jpg"
1480,sculpture,"https://api.nga.gov/iiif/4b8a9c19-3666-4c70-814b-6d4480cae145/full/!200,200/0/default.jpg"
1838,print,"https://api.nga.gov/iiif/8b95be5e-42dc-46f3-b80b-9619fbae576e/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/94e19f81-1917-4790-ae5d-ba9891457a0c/full/!200,200/0/default.jpg"
1888,print,"https://api.nga.gov/iiif/676627c9-c8f2-4ab0-8509-939603c0bd56/full/!200,200/0/default.jpg"
1470,sculpture,"https://api.nga.gov/iiif/18e511f1-569e-492a-932a-7d758a06752e/full/!200,200/0/default.jpg"
1620,drawing,"https://api.nga.gov/iiif/35d184b4-3a2d-4c24-9552-8af027eac753/full/!200,200/0/default.jpg"
1854,photograph,"https://api.nga.gov/iiif/74598c29-bc10-4c9c-9f1f-2561ee329bfa/full/!200,200/0/default.jpg"
1890,drawing,"https://api.nga.gov/iiif/69743015-429c-41ab-8023-29602558e804/full/!200,200/0/default.jpg"
1847,print,"https://api.nga.gov/iiif/64a3d928-a0f9-4f8b-833b-d9ca6051ccd6/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/86bb29d9-8db2-49a7-9fe7-8788f37395b4/full/!200,200/0/default.jpg"
1820,print,"https://api.nga.gov/iiif/ccb31665-f2b3-49cb-848f-dcd972c695a7/full/!200,200/0/default.jpg"
1899,drawing,"https://api.nga.gov/iiif/a86c4f86-cde4-42d1-9ebd-d74a13fec9fd/full/!200,200/0/default.jpg"
