beginyear,hex_color,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl
1450,"#34a830","#e8dbcb","#3430a0","#888077","#d7c7b6","#3f352c","https://api.nga.gov/iiif/ee6fc6dc-2f62-41d8-8fb2-724f58d8fb6a/full/!800,800/0/default.jpg"
1800,"#bf903d","#f4d484","#96600a","#a5895a","#cfbd97",,"https://api.nga.gov/iiif/62b4e6e0-832d-44d6-904a-365dd0409dd5/full/!800,800/0/default.jpg"
1800,"#d0bc94","#dcccb4","#5c4a28","#bca484","#dcd4b3",,"https://api.nga.gov/iiif/c9db6266-e728-4b42-a1bf-a2d43ffa5921/full/!800,800/0/default.jpg"
1500,"#8b623c","#dcbf92","#743415","#92765e","#ccbc9e","#5b4636","https://api.nga.gov/iiif/98167e7b-d68d-4ac9-8375-a9528fc2d66d/full/!800,800/0/default.jpg"
1470,"#9b6920","#d0b780","#704511","#a0845e","#c4b093","#574734","https://api.nga.gov/iiif/1a7e79f0-728c-416e-8e2b-610b0d7b0898/full/!800,800/0/default.jpg"
1800,"#ac9d4b","#f9ecc0","#7c741c","#8f946e","#cec3ab","#5b5b2e","https://api.nga.gov/iiif/25fd02c7-2296-4e89-853e-20f22740b8ce/full/!800,800/0/default.jpg"
1800,"#c46c5c","#f2ccac","#5d2a15","#a78d73","#c5b8a0","#41311e","https://api.nga.gov/iiif/50f200e8-2baf-47dd-9f9a-0a8558f4f5a3/full/!800,800/0/default.jpg"
1800,"#b8894b","#cba465","#593424","#644b3c",,,"https://api.nga.gov/iiif/2eb6afc9-684f-409b-b72f-1c629f82e144/full/!800,800/0/default.jpg"
1450,"#b1744d","#d4b199","#523624","#9e7c54","#c8bda2","#513b30","https://api.nga.gov/iiif/017f8b4b-3d7f-4c8e-9fb3-87a83a62332b/full/!800,800/0/default.jpg"
1470,"#b03e2e","#dec679","#6e1c1e","#8f7d58","#d2c7a5","#504839","https://api.nga.gov/iiif/a1871fb3-fa75-4868-ab25-8870b9e833c7/full/!800,800/0/default.jpg"
1450,"#807cc0","#80c4c0","#2d2b59","#81807f","#bcbcbb","#47413d","https://api.nga.gov/iiif/b55d89a7-1459-47b6-a886-ff13ae3dda5a/full/!800,800/0/default.jpg"
1450,"#ba7f44",,,,,,"https://api.nga.gov/iiif/84903914-7d29-443b-880e-0daf3fc56d1d/full/!800,800/0/default.jpg"
1450,"#a67c44","#d8b47d","#6c4c1c","#ad8b5c","#c1a17c","#5d4833","https://api.nga.gov/iiif/0b9a07f6-934e-48ca-b8b6-264a5d9dd1bb/full/!800,800/0/default.jpg"
1455,"#ac6c44","#e3d1ad","#631222","#936b49","#c9c7a7","#644c36","https://api.nga.gov/iiif/d6663e36-cd7f-4406-a5e1-827e8dc729ed/full/!800,800/0/default.jpg"
1450,"#cc9c6c","#c1a47b","#845c24","#a5815f","#c5aa89","#644831","https://api.nga.gov/iiif/59264288-0981-4363-9ab3-e9a15a21a570/full/!800,800/0/default.jpg"
1470,"#be5324",,,,,,"https://api.nga.gov/iiif/45949ade-9d91-45dd-875a-3e164f930351/full/!800,800/0/default.jpg"
1470,"#deab62","#f4bf6d","#521f17","#ab8e57","#d9c6ad","#54432e","https://api.nga.gov/iiif/411d388f-e778-47f8-a5e8-0c030fa03aaf/full/!800,800/0/default.jpg"
1475,"#a9942c",,,,,,"https://api.nga.gov/iiif/166f5600-9962-4ffd-b227-56f416276c47/full/!800,800/0/default.jpg"
1470,"#be9a5f","#bda86a","#674c2e","#967b51","#b29d80","#57442c","https://api.nga.gov/iiif/629fa856-d29d-4c59-9563-99c7a3a71200/full/!800,800/0/default.jpg"
1475,"#d7ac5d","#e5d28d","#4d310a","#af976d",,,"https://api.nga.gov/iiif/651299d1-b405-4a2d-8d21-738168d14b29/full/!800,800/0/default.jpg"
1500,"#bc8c49","#d2b088","#8c4c14","#a68661","#acaba9","#63442d","https://api.nga.gov/iiif/06ac0ac4-f3f0-413d-a2f1-a37e4ff23825/full/!800,800/0/default.jpg"
1475,"#ac6f52",,,,,,"https://api.nga.gov/iiif/51b2cb38-d881-46e5-96f2-5d7040d6f4d7/full/!800,800/0/default.jpg"
1475,"#c87836",,,,,,"https://api.nga.gov/iiif/f95a5949-0483-4ade-a25c-02144800aeac/full/!800,800/0/default.jpg"
1475,"#9f6d4a","#cc9c5c","#78492a","#968163","#c6b39c","#464434","https://api.nga.gov/iiif/8c0c3a8f-aa9f-43d4-8f60-ac44d48add75/full/!800,800/0/default.jpg"
1475,"#a8783c","#d6ac7a","#6c340c","#af845e",,,"https://api.nga.gov/iiif/93abb0bc-9903-45f7-b91e-1d1227a9a228/full/!800,800/0/default.jpg"
1470,"#cd7f31","#ddbf9a","#543414","#a37c54","#ad8b72","#533928","https://api.nga.gov/iiif/0c0cbe70-ba1c-427c-bccb-0a5dbf8561bf/full/!800,800/0/default.jpg"
1475,"#9c7444","#d7bd9c","#4c2c0c","#a88b70","#d5c5b2","#563d26","https://api.nga.gov/iiif/e4f32e9c-c253-4468-892a-ff9e02296632/full/!800,800/0/default.jpg"
1475,"#b58249",,,,,,"https://api.nga.gov/iiif/d562cc9e-1196-41b7-9738-302fb3df07ee/full/!800,800/0/default.jpg"
1460,"#58b8a8","#fce8d3","#275d54","#827a71","#cbbdad","#62574b","https://api.nga.gov/iiif/a573bdd8-cb20-436a-bc1a-6479f2faac3b/full/!800,800/0/default.jpg"
1450,"#a87024","#e3c887","#714413","#b28a55",,,"https://api.nga.gov/iiif/40f578c5-94fc-432c-8257-50b32ffdda75/full/!800,800/0/default.jpg"
1475,"#bf3f3f",,,,,,"https://api.nga.gov/iiif/4acc8f18-7184-44ab-b4aa-ef3e5a867af9/full/!800,800/0/default.jpg"
1475,"#dedd2c",,,,,,"https://api.nga.gov/iiif/8d4f3a8f-f5bf-46c7-83ec-68f0699943f6/full/!800,800/0/default.jpg"
1466,"#6d4a34",,,,,,"https://api.nga.gov/iiif/c37742e1-2111-4487-a838-d120d2e263b9/full/!800,800/0/default.jpg"
1500,"#bc946a","#dcb487","#845c3c","#a7845e","#bc9c70","#846747","https://api.nga.gov/iiif/41df891f-3da9-4f6d-95a7-dfd711534e84/full/!800,800/0/default.jpg"
1500,"#bb8a47","#e4d8bc","#6c4414","#a47b5b","#bcb4b1","#3b2c25","https://api.nga.gov/iiif/5cf17702-d25a-4c21-bc0b-70064402225d/full/!800,800/0/default.jpg"
1500,"#ac402c",,,,,,"https://api.nga.gov/iiif/cd9dfc4c-be3b-42c6-bbb4-25b1f15fb14b/full/!800,800/0/default.jpg"
1470,"#50b044","#dcc4a3","#2b5f24","#887868","#d3c4a4","#62554a","https://api.nga.gov/iiif/90f98992-42e5-4393-abf1-d3c963850b5a/full/!800,800/0/default.jpg"
